position,season_id,player_id,team_id,stage_id,goals,penalty_goals,type,player
1,892,96088,15251,1727,2,0,goals,"{'data': {'player_id': 96088, 'team_id': 214, 'country_id': 158, 'position_id': 4, 'common_name': 'E. Cavani', 'display_name': 'Edinson Cavani', 'fullname': 'Edinson Roberto Cavani Gómez', 'firstname': 'Edinson Roberto', 'lastname': 'Cavani Gómez', 'nationality': 'Uruguay', 'birthdate': '14/02/1987', 'birthcountry': 'Uruguay', 'birthplace': 'Salto', 'height': '184 cm', 'weight': '71 kg', 'image_path': 'https://cdn.sportmonks.com/images/soccer/players/24/96088.png', 'team': {'data': {'id': 214, 'legacy_id': 287, 'name': 'Valencia', 'short_code': 'VAL', 'twitter': '@valenciacf', 'country_id': 32, 'national_team': False, 'founded': 1919, 'logo_path': 'https://cdn.sportmonks.com/images/soccer/teams/22/214.png', 'venue_id': 9240, 'current_season_id': 19799, 'is_placeholder': False}}}}"
1,892,922,18645,1728,1,0,goals,"{'data': {'player_id': 922, 'team_id': 554, 'country_id': 462, 'position_id': 3, 'common_name': 'B. Alli', 'display_name': 'Dele Alli', 'fullname': 'Bamidele Alli', 'firstname': 'Bamidele', 'lastname': 'Alli', 'nationality': 'England', 'birthdate': '11/04/1996', 'birthcountry': 'England', 'birthplace': 'Milton Keynes', 'height': '188 cm', 'weight': '76 kg', 'image_path': 'https://cdn.sportmonks.com/images/soccer/players/26/922.png', 'team': {'data': {'id': 554, 'legacy_id': 147, 'name': 'Beşiktaş', 'short_code': 'BES', 'twitter': '@Besiktas', 'country_id': 404, 'national_team': False, 'founded': 1903, 'logo_path': 'https://cdn.sportmonks.com/images/soccer/teams/10/554.png', 'venue_id': 340175, 'current_season_id': 19900, 'is_placeholder': False}}}}"
1,892,30965,18588,1729,1,0,goals,"{'data': {'player_id': 30965, 'team_id': None, 'country_id': 266, 'position_id': 4, 'common_name': 'M. Mandžukić', 'display_name': 'Mario Mandžukić', 'fullname': 'Mario Mandžukić', 'firstname': 'Mario', 'lastname': 'Mandžukić', 'nationality': 'Croatia', 'birthdate': '21/05/1986', 'birthcountry': 'Croatia', 'birthplace': 'Slavonski Brod', 'height': '190 cm', 'weight': '85 kg', 'image_path': 'https://cdn.sportmonks.com/images/soccer/players/21/30965.png'}}"
1,892,1331,18743,1730,1,0,goals,"{'data': {'player_id': 1331, 'team_id': 3468, 'country_id': 556, 'position_id': 4, 'common_name': 'E. Hazard', 'display_name': 'Eden Hazard', 'fullname': 'Eden Hazard', 'firstname': 'Eden', 'lastname': 'Hazard', 'nationality': 'Belgium', 'birthdate': '07/01/1991', 'birthcountry': 'Belgium', 'birthplace': 'La Louvière', 'height': '173 cm', 'weight': '76 kg', 'image_path': 'https://cdn.sportmonks.com/images/soccer/players/19/1331.png', 'team': {'data': {'id': 3468, 'legacy_id': 117, 'name': 'Real Madrid', 'short_code': 'RMA', 'twitter': '@realmadrid', 'country_id': 32, 'national_team': False, 'founded': 1902, 'logo_path': 'https://cdn.sportmonks.com/images/soccer/teams/12/3468.png', 'venue_id': 2020, 'current_season_id': 19799, 'is_placeholder': False}}}}"
1,892,185658,18647,1731,1,1,goals,"{'data': {'player_id': 185658, 'team_id': 7980, 'country_id': 17, 'position_id': 4, 'common_name': 'A. Griezmann', 'display_name': 'Antoine Griezmann', 'fullname': 'Antoine Griezmann', 'firstname': 'Antoine', 'lastname': 'Griezmann', 'nationality': 'France', 'birthdate': '21/03/1991', 'birthcountry': 'France', 'birthplace': 'Mâcon', 'height': '176 cm', 'weight': '73 kg', 'image_path': 'https://cdn.sportmonks.com/images/soccer/players/26/185658.png', 'team': {'data': {'id': 7980, 'legacy_id': 113, 'name': 'Atlético Madrid', 'short_code': 'ATM', 'twitter': '@Atleti', 'country_id': 32, 'national_team': False, 'founded': 1903, 'logo_path': 'https://cdn.sportmonks.com/images/soccer/teams/12/7980.png', 'venue_id': 140808, 'current_season_id': 19799, 'is_placeholder': False}}}}"
1,892,997,18645,1733,5,2,goals,"{'data': {'player_id': 997, 'team_id': 6, 'country_id': 462, 'position_id': 4, 'common_name': 'H. Kane', 'display_name': 'Harry Kane', 'fullname': 'Harry Kane', 'firstname': 'Harry', 'lastname': 'Kane', 'nationality': 'England', 'birthdate': '28/07/1993', 'birthcountry': 'England', 'birthplace': 'London', 'height': '188 cm', 'weight': '86 kg', 'image_path': 'https://cdn.sportmonks.com/images/soccer/players/5/997.png', 'team': {'data': {'id': 6, 'legacy_id': 148, 'name': 'Tottenham Hotspur', 'short_code': 'TOT', 'twitter': '@SpursOfficial', 'country_id': 462, 'national_team': False, 'founded': 1882, 'logo_path': 'https://cdn.sportmonks.com/images/soccer/teams/6/6.png', 'venue_id': 281313, 'current_season_id': 19734, 'is_placeholder': False}}}}"
2,892,96611,18647,1727,2,0,goals,"{'data': {'player_id': 96611, 'team_id': 591, 'country_id': 17, 'position_id': 4, 'common_name': 'K. Mbappé Lottin', 'display_name': 'Kylian Mbappé', 'fullname': 'Kylian Mbappé Lottin', 'firstname': 'Kylian', 'lastname': 'Mbappé Lottin', 'nationality': 'France', 'birthdate': '20/12/1998', 'birthcountry': 'France', 'birthplace': 'Paris', 'height': '178 cm', 'weight': '73 kg', 'image_path': 'https://cdn.sportmonks.com/images/soccer/players/3/96611.png', 'team': {'data': {'id': 591, 'legacy_id': 131, 'name': 'Paris Saint Germain', 'short_code': 'PSG', 'twitter': '@PSG_inside', 'country_id': 17, 'national_team': False, 'founded': 1970, 'logo_path': 'https://cdn.sportmonks.com/images/soccer/teams/15/591.png', 'venue_id': 131, 'current_season_id': 19745, 'is_placeholder': False}}}}"
2,892,186479,18702,1728,1,0,goals,"{'data': {'player_id': 186479, 'team_id': 267, 'country_id': 227, 'position_id': 3, 'common_name': 'D. Cheryshev', 'display_name': 'Denis Cheryshev', 'fullname': 'Denis Cheryshev', 'firstname': 'Denis', 'lastname': 'Cheryshev', 'nationality': 'Russia', 'birthdate': '26/12/1990', 'birthcountry': 'Russia', 'birthplace': 'Nizhny Novgorod', 'height': '179 cm', 'weight': '74 kg', 'image_path': 'https://cdn.sportmonks.com/images/soccer/players/15/186479.png', 'team': {'data': {'id': 267, 'legacy_id': 2569, 'name': 'Venezia', 'short_code': 'VEN', 'twitter': '@VeneziaFC_IT', 'country_id': 251, 'national_team': False, 'founded': 1907, 'logo_path': 'https://cdn.sportmonks.com/images/soccer/teams/11/267.png', 'venue_id': 19196, 'current_season_id': 20080, 'is_placeholder': False}}}}"
2,892,31002,18588,1729,1,0,goals,"{'data': {'player_id': 31002, 'team_id': 6, 'country_id': 266, 'position_id': 3, 'common_name': 'I. Perišić', 'display_name': 'Ivan Perišić', 'fullname': 'Ivan Perišić', 'firstname': 'Ivan', 'lastname': 'Perišić', 'nationality': 'Croatia', 'birthdate': '02/02/1989', 'birthcountry': 'Croatia', 'birthplace': 'Split', 'height': '187 cm', 'weight': '80 kg', 'image_path': 'https://cdn.sportmonks.com/images/soccer/players/26/31002.png', 'team': {'data': {'id': 6, 'legacy_id': 148, 'name': 'Tottenham Hotspur', 'short_code': 'TOT', 'twitter': '@SpursOfficial', 'country_id': 462, 'national_team': False, 'founded': 1882, 'logo_path': 'https://cdn.sportmonks.com/images/soccer/teams/6/6.png', 'venue_id': 281313, 'current_season_id': 19734, 'is_placeholder': False}}}}"
2,892,61517,18743,1730,1,0,goals,"{'data': {'player_id': 61517, 'team_id': 68, 'country_id': 556, 'position_id': 2, 'common_name': 'T. Meunier', 'display_name': 'Thomas Meunier', 'fullname': 'Thomas Meunier', 'firstname': 'Thomas', 'lastname': 'Meunier', 'nationality': 'Belgium', 'birthdate': '12/09/1991', 'birthcountry': 'Belgium', 'birthplace': 'Sainte-Ode', 'height': '190 cm', 'weight': '82 kg', 'image_path': 'https://cdn.sportmonks.com/images/soccer/players/13/61517.png', 'team': {'data': {'id': 68, 'legacy_id': 53, 'name': 'Borussia Dortmund', 'short_code': 'BVB', 'twitter': '@BVB', 'country_id': 11, 'national_team': False, 'founded': 1909, 'logo_path': 'https://cdn.sportmonks.com/images/soccer/teams/4/68.png', 'venue_id': 2166, 'current_season_id': 19744, 'is_placeholder': False}}}}"
2,892,30965,18588,1731,1,0,goals,"{'data': {'player_id': 30965, 'team_id': None, 'country_id': 266, 'position_id': 4, 'common_name': 'M. Mandžukić', 'display_name': 'Mario Mandžukić', 'fullname': 'Mario Mandžukić', 'firstname': 'Mario', 'lastname': 'Mandžukić', 'nationality': 'Croatia', 'birthdate': '21/05/1986', 'birthcountry': 'Croatia', 'birthplace': 'Slavonski Brod', 'height': '190 cm', 'weight': '85 kg', 'image_path': 'https://cdn.sportmonks.com/images/soccer/players/21/30965.png'}}"
2,892,580,18701,1733,4,1,goals,"{'data': {'player_id': 580, 'team_id': 14, 'country_id': 20, 'position_id': 4, 'common_name': 'C. Ronaldo', 'display_name': 'Cristiano Ronaldo', 'fullname': 'Cristiano Ronaldo dos Santos Aveiro', 'firstname': 'Cristiano Ronaldo', 'lastname': 'dos Santos Aveiro', 'nationality': 'Portugal', 'birthdate': '05/02/1985', 'birthcountry': 'Portugal', 'birthplace': 'Funchal', 'height': '187 cm', 'weight': '83 kg', 'image_path': 'https://cdn.sportmonks.com/images/soccer/players/4/580.png', 'team': {'data': {'id': 14, 'legacy_id': 375, 'name': 'Manchester United', 'short_code': 'MUN', 'twitter': '@ManUtd', 'country_id': 462, 'national_team': False, 'founded': 1878, 'logo_path': 'https://cdn.sportmonks.com/images/soccer/teams/14/14.png', 'venue_id': 206, 'current_season_id': 19734, 'is_placeholder': False}}}}"
